code,tabName,dashboardName
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,Hosts,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,Hosts,AIOps Insights
25340c81-4b25-4d80-9f18-51861325230a,Database,AIOps Insights
25340c81-4b25-4d80-9f18-51861325230a,Network,AIOps Insights
30f4ec75-ad42-49ba-84b1-39aa97a08797,Database,AIOps Insights
3b2373da-ba1c-4e23-a536-7c29e1a5c304,Hosts,AIOps Insights
3cb4885a-f8bd-4a3f-a252-18ea41df6ca5,Hosts,AIOps Insights
44a0034d-1ccd-4bf1-a375-197b9d7ec2c8,Hosts,AIOps Insights
4eb211cb-4c87-4fc9-847b-78e00381f9f0,Database,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,Hosts,AIOps Insights
5367bd0c-9a3c-4e92-b9d1-c4e9a83673b7,Network,AIOps Insights
5879282b-06dc-44b5-b01d-eb089566889b,Hosts,AIOps Insights
60b63da1-bd99-4896-867d-227e31748073,Hosts,AIOps Insights
7f8927c6-a2b9-4c9a-a1be-514f49e2d372,Hosts,AIOps Insights
84EE3AE2-44BB-47DA-8544-B8D125E26091,Hosts,AIOps Insights
85dd70a1-d2a3-47d9-b440-7dbba1125194,Hosts,AIOps Insights
8ee39174-afe8-4b0a-83bc-ade16be51ba4,Hosts,AIOps Insights
949a5082-3a94-4d44-9448-d2c2fd3d4141,Hosts,AIOps Insights
a03b35f1-f020-403f-ba5c-a0cd7690fd2f,Network,AIOps Insights
bd8be48a-9dd7-4f2b-8491-968b215cba30,Network,AIOps Insights
c972420f-70fd-4124-82ea-529eba9b2648,Hosts,AIOps Insights
eeb91655-af73-4586-95c3-b66ab1946154,Hosts,AIOps Insights
f2aa3345-e6c1-4e06-b461-d3b03428073c,Hosts,AIOps Insights
