code,tabName,dashboardName
0008cb28-ac5a-4c6b-b5c7-f269f5d03c23,Backup,AIOps Insights
03c48605-2d20-4fb0-a26c-0328bbf60164,Backup,AIOps Insights
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,Availability,AIOps Insights
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,AWS,AIOps Insights
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,Azure,AIOps Insights
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,Database,AIOps Insights
089dc3dd-d1dc-48fd-8f8a-2efd5e5de06c,Hosts,AIOps Insights
08a5998a-4328-4c1a-a2b9-393fba2db8e9,Backup,AIOps Insights
12e176bf-f23a-4766-80c3-5aa5822c1bcc,Hosts,AIOps Insights
1844997b-70f6-4169-800c-96402763bdae,Availability,AIOps Insights
1844997b-70f6-4169-800c-96402763bdae,Network,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,Availability,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,AWS,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,Azure,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,Database,AIOps Insights
1a0b2fcd-8f43-4682-9ca7-fcfd58ed4973,Hosts,AIOps Insights
1fb3ddae-7929-4a27-83bd-993046fea10c,Availability,AIOps Insights
25340c81-4b25-4d80-9f18-51861325230a,Availability,AIOps Insights
25340c81-4b25-4d80-9f18-51861325230a,Database,AIOps Insights
25340c81-4b25-4d80-9f18-51861325230a,Network,AIOps Insights
25ed9e3f-faeb-4199-9cd1-5f74e462c69c,Network,AIOps Insights
2B1E6C0D1E1A4A7589093FAF31BAE840,Availability,AIOps Insights
30f4ec75-ad42-49ba-84b1-39aa97a08797,Availability,AIOps Insights
30f4ec75-ad42-49ba-84b1-39aa97a08797,Database,AIOps Insights
3b2373da-ba1c-4e23-a536-7c29e1a5c304,AWS,AIOps Insights
3b2373da-ba1c-4e23-a536-7c29e1a5c304,Azure,AIOps Insights
3b2373da-ba1c-4e23-a536-7c29e1a5c304,Database,AIOps Insights
3b2373da-ba1c-4e23-a536-7c29e1a5c304,Hosts,AIOps Insights
3cb4885a-f8bd-4a3f-a252-18ea41df6ca5,AWS,AIOps Insights
3cb4885a-f8bd-4a3f-a252-18ea41df6ca5,Azure,AIOps Insights
3cb4885a-f8bd-4a3f-a252-18ea41df6ca5,Database,AIOps Insights
3cb4885a-f8bd-4a3f-a252-18ea41df6ca5,Hosts,AIOps Insights
3d8da7fa-da1d-41ab-9ad2-193d793a63a8,Backup,AIOps Insights
44269E9BF1724015B42E7A72156690B3,Availability,AIOps Insights
44a0034d-1ccd-4bf1-a375-197b9d7ec2c8,AWS,AIOps Insights
44a0034d-1ccd-4bf1-a375-197b9d7ec2c8,Azure,AIOps Insights
44a0034d-1ccd-4bf1-a375-197b9d7ec2c8,Database,AIOps Insights
44a0034d-1ccd-4bf1-a375-197b9d7ec2c8,Hosts,AIOps Insights
4e5cd27d-02a5-446a-87ab-786fa88f0566,Availability,AIOps Insights
4e5cd27d-02a5-446a-87ab-786fa88f0566,Storage,AIOps Insights
4eb211cb-4c87-4fc9-847b-78e00381f9f0,Availability,AIOps Insights
4eb211cb-4c87-4fc9-847b-78e00381f9f0,Database,AIOps Insights
5048bedc-0946-40f1-9450-a7103ede3aad,Hosts,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,Availability,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,AWS,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,Azure,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,Database,AIOps Insights
52bb04b7-ec3d-4e0e-b60d-f13b19f86810,Hosts,AIOps Insights
5367bd0c-9a3c-4e92-b9d1-c4e9a83673b7,Availability,AIOps Insights
