code,tabName,dashboardName
02c69096-74e2-4218-ba46-da214b6407e9,Home,End User Insights
05ecccb7-100a-4df2-b185-68dd00c4e989,Drill-Down Details,End User Insights
17a40b40-34d9-4035-ba7c-4cebc919715a,Home,End User Insights
1c19c0f1-5d28-445e-8a2b-38e20795fccf,Home,End User Insights
1d064485-d148-404d-b4d0-74adfe763cd5,Home,End User Insights
1f250404-ede5-4903-984d-775486274c21,Home,End User Insights
20fa5eae-b020-4f2e-af79-2ece149cde52,Home,End User Insights
28db5982-4392-403b-9f0e-907f1c092f42,Drill-Down Details,End User Insights
495c20a9-19e7-4c16-9d83-cccc175c1a03,Home,End User Insights
5362e522-4881-4d20-a0a9-1ccaf4eb3f11,Drill-Down Details,End User Insights
5be027a2-0f6d-42fa-84f7-31ac7fde0cfd,Drill-Down Details,End User Insights
6b91da32-3f62-4fcd-9dd0-43318fe24090,Home,End User Insights
83e79aa5-9f54-4c92-aec6-7c6edf7b9a48,Drill-Down Details,End User Insights
8b21ea39-7766-4a8d-a70a-76f3f4e6fac9,Drill-Down Details,End User Insights
a3472c73-e6dc-48e7-8799-cb704adbe76d,Home,End User Insights
bfb64d3a-a78a-435f-aa63-716542b73736,Home,End User Insights
c1ad2d33-1266-453d-b3c3-22ca8f26ec58,Drill-Down Details,End User Insights
c20c9b1c-1479-4c3d-99af-4f630dfd0320,Home,End User Insights
c3571eda-00f6-42cf-bc95-45e1330bafb2,Drill-Down Details,End User Insights
c3571eda-00f6-42cf-bc95-45e1330bafb2,Home,End User Insights
e22dbb35-d91f-43ff-beb1-30073bab5f70,Home,End User Insights
e9131dc8-2fa9-4398-beaa-73d75fd7215c,Home,End User Insights
ecb7a777-af41-473d-a5b7-036169b83050,Home,End User Insights
