code,tabName,dashboardName
117a73f5-7d50-4f61-8b87-a0ca4a032233,SLA Details,Quarterly Compliance
281ab8ac-b2ff-45ed-9c92-26a54c828b42,SLA Details,Quarterly Compliance
3a01a116-91d8-4276-95ba-b05589acdaa0,SLA Details,Quarterly Compliance
44cad028-f8d0-4f55-8b31-f5c009342d76,SLA Details,Quarterly Compliance
4b119474-02e5-44eb-ba3a-1afb9d67bd91,SLA Details,Quarterly Compliance
6b316850-642d-4a69-b8db-4f90c6999201,Home,Quarterly Compliance
7065b638-3982-4919-a723-96e163446e24,SLA Details,Quarterly Compliance
74d31577-3762-4b37-bea8-fbf5591ee155,Home,Quarterly Compliance
7f7ef7b5-8b39-4f7a-8d84-516c7a9d7a96,Home,Quarterly Compliance
a1508c6f-11a3-4f33-8fbb-9741a2416d27,SLA Details,Quarterly Compliance
b5b58b21-181e-4db0-ab98-6aaa9e46fe3e,Home,Quarterly Compliance
da08306c-e699-4d0a-a9f4-6dce1ad02a38,Home,Quarterly Compliance
e297a589-746e-4779-bb23-dc94f69e10ec,Home,Quarterly Compliance
ebb28923-2e65-467d-981b-d378ac6ec36a,SLA Details,Quarterly Compliance
fe99d147-85ad-44e3-9b65-5b557f7dce8d,Home,Quarterly Compliance
